公司代码 ,公司简称 ,代码,简称,上市日期,Symbol
600256,  广汇能源,600256,  广汇能源,  2000-05-26,600256.SS
600257,  大湖股份,600257,  大湖股份,  2000-06-12,600257.SS
600258,  首旅酒店,600258,  首旅酒店,  2000-06-01,600258.SS
600259,  广晟有色,600259,  广晟有色,  2000-05-25,600259.SS
600260,  凯乐科技,600260,  凯乐科技,  2000-07-06,600260.SS
600261,  阳光照明,600261,  阳光照明,  2000-07-20,600261.SS
600262,  北方股份,600262,  北方股份,  2000-06-30,600262.SS
600265,  ST景谷,600265,  ST景谷,  2000-08-25,600265.SS
600266,  城建发展,600266,  城建发展,  1999-02-03,600266.SS
600267,  海正药业,600267,  海正药业,  2000-07-25,600267.SS
600268,  国电南自,600268,  国电南自,  1999-11-18,600268.SS
600269,  赣粤高速,600269,  赣粤高速,  2000-05-18,600269.SS
600271,  航天信息,600271,  航天信息,  2003-07-11,600271.SS
600272,  开开实业,600272,  开开实业,  1997-01-08,600272.SS
600273,  嘉化能源,600273,  嘉化能源,  2003-06-27,600273.SS
600275,  ST昌鱼,600275,  ST昌鱼,  2000-08-10,600275.SS
600276,  恒瑞医药,600276,  恒瑞医药,  2000-10-18,600276.SS
600277,  亿利洁能,600277,  亿利洁能,  2000-07-25,600277.SS
600278,  东方创业,600278,  东方创业,  2000-07-12,600278.SS
600279,  重庆港九,600279,  重庆港九,  2000-07-31,600279.SS
600280,  *ST中商,600280,  *ST中商,  2000-09-26,600280.SS
600281,  太化股份,600281,  太化股份,  2000-11-09,600281.SS
600282,  南钢股份,600282,  南钢股份,  2000-09-19,600282.SS
600283,  钱江水利,600283,  钱江水利,  2000-10-18,600283.SS
600284,  浦东建设,600284,  浦东建设,  2004-03-16,600284.SS
600285,  羚锐制药,600285,  羚锐制药,  2000-10-18,600285.SS
600287,  江苏舜天,600287,  江苏舜天,  2000-09-01,600287.SS
600288,  大恒科技,600288,  大恒科技,  2000-11-29,600288.SS
600289,  *ST信通,600289,  *ST信通,  2000-07-20,600289.SS
600290,  *ST华仪,600290,  *ST华仪,  2000-11-06,600290.SS
600291,  西水股份,600291,  西水股份,  2000-07-31,600291.SS
600292,  远达环保,600292,  远达环保,  2000-11-01,600292.SS
600293,  三峡新材,600293,  三峡新材,  2000-09-19,600293.SS
600295,  鄂尔多斯,600295,  鄂尔多斯,  1995-10-20,600295.SS
600297,  广汇汽车,600297,  广汇汽车,  2000-11-16,600297.SS
600298,  安琪酵母,600298,  安琪酵母,  2000-08-18,600298.SS
600299,  安迪苏,600299,  安迪苏,  2000-04-20,600299.SS
600300,  维维股份,600300,  维维股份,  2000-06-30,600300.SS
600301,  ST南化,600301,  ST南化,  2000-07-12,600301.SS
600302,  标准股份,600302,  标准股份,  2000-12-13,600302.SS
600303,  曙光股份,600303,  曙光股份,  2000-12-26,600303.SS
600305,  恒顺醋业,600305,  恒顺醋业,  2001-02-06,600305.SS
600306,  *ST商城,600306,  *ST商城,  2000-12-26,600306.SS
600307,  酒钢宏兴,600307,  酒钢宏兴,  2000-12-20,600307.SS
600308,  华泰股份,600308,  华泰股份,  2000-09-28,600308.SS
600309,  万华化学,600309,  万华化学,  2000-01-05,600309.SS
600310,  桂东电力,600310,  桂东电力,  2001-02-28,600310.SS
600311,  *ST荣华,600311,  *ST荣华,  2001-06-26,600311.SS
600312,  平高电气,600312,  平高电气,  2001-02-21,600312.SS
600313,  农发种业,600313,  农发种业,  2001-01-19,600313.SS
600315,  上海家化,600315,  上海家化,  2001-03-15,600315.SS
600316,  洪都航空,600316,  洪都航空,  2000-12-15,600316.SS
600318,  新力金融,600318,  新力金融,  2000-12-08,600318.SS
600319,  ST亚星,600319,  ST亚星,  2001-03-26,600319.SS
600320,  振华重工,600320,  振华重工,  2000-12-21,600320.SS
600321,  正源股份,600321,  正源股份,  2001-05-24,600321.SS
600322,  天房发展,600322,  天房发展,  2001-09-10,600322.SS
600323,  瀚蓝环境,600323,  瀚蓝环境,  2000-12-25,600323.SS
600325,  华发股份,600325,  华发股份,  2004-02-25,600325.SS
600326,  西藏天路,600326,  西藏天路,  2001-01-16,600326.SS
600327,  大东方,600327,  大东方,  2002-06-25,600327.SS
600328,  中盐化工,600328,  中盐化工,  2000-12-22,600328.SS
600329,  中新药业,600329,  中新药业,  2001-06-06,600329.SS
600330,  天通股份,600330,  天通股份,  2001-01-18,600330.SS
600331,  宏达股份,600331,  宏达股份,  2001-12-20,600331.SS
600332,  白云山,600332,  白云山,  2001-02-06,600332.SS
600333,  长春燃气,600333,  长春燃气,  2000-12-11,600333.SS
600335,  国机汽车,600335,  国机汽车,  2001-03-05,600335.SS
600336,  澳柯玛,600336,  澳柯玛,  2000-12-29,600336.SS
600337,  美克家居,600337,  美克家居,  2000-11-27,600337.SS
600338,  西藏珠峰,600338,  西藏珠峰,  2000-12-27,600338.SS
600339,  中油工程,600339,  中油工程,  2000-12-25,600339.SS
600340,  华夏幸福,600340,  华夏幸福,  2003-12-30,600340.SS
