板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,Symbol
主板,金科地产集团股份有限公司,"JINKE PROPERTY GROUP CO., LTD",重庆市江北区复盛镇正街（政府大楼）,000656,金科股份,1996-11-28,"5,339,715,816","5,257,895,362",,,,0,0,西南,重庆,重庆市,K 房地产,www.jinke.com,000656.SZ
主板,中钨高新材料股份有限公司,"CHINA TUNGSTEN AND HIGHTECH MATERALS CO.,LTD",海南省海口市龙昆北路2号珠江广场帝都大厦18楼,000657,中钨高新,1996-12-05,"1,054,290,442","947,694,430",,,,0,0,华南,海南,海口市,C 制造业,www.minmetalstungsten.com,000657.SZ
主板,珠海中富实业股份有限公司,"ZHUHAI ZHONGFU ENTERPRISE CO.,LTD",广东省珠海市保税区1号地三号厂房201号,000659,珠海中富,1996-12-03,"1,285,702,520","1,285,702,520",,,,0,0,华南,广东,珠海市,C 制造业,www.zhongfu.com.cn,000659.SZ
主板,长春高新技术产业（集团）股份有限公司,Changchun High & New Technology Industry (Group) Inc.,吉林省长春市同志街2400号火炬大厦五层,000661,长春高新,1996-12-18,"404,720,290","359,953,062",,,,0,0,东北,吉林,长春市,C 制造业,www.cchn.com.cn,000661.SZ
主板,天夏智慧城市科技股份有限公司,TEAMAX SMART CITY TECHNOLOGY CORPORATION LIMITED,广西壮族自治区梧州市新兴二路137号,000662,*ST天夏,1996-12-16,"1,093,097,734","1,093,097,734",,,,0,0,华南,广西,梧州市,I 信息技术,www.txgis.com,000662.SZ
主板,福建省永安林业(集团)股份有限公司,"FUJIAN YONGAN FORESTRY (GROUP) JOINT-STOCK CO.,LTD",福建省永安市燕江东路819号,000663,*ST永林,1996-12-06,"336,683,929","280,165,791",,,,0,0,华东,福建,三明市,C 制造业,www.yonglin.com,000663.SZ
主板,湖北省广播电视信息网络股份有限公司,"Hubei Radio & Television Information Network Co., Ltd.",湖北省武汉经济技术开发区工业区,000665,湖北广电,1996-12-10,"981,886,694","981,831,989",,,,0,0,华中,湖北,武汉市,R 文化传播,www.hrtn.net,000665.SZ
主板,经纬纺织机械股份有限公司,"JINGWEI TEXTILE MACHINERY CO.,LTD.",北京市北京经济技术开发区永昌中路8号,000666,经纬纺机,1996-12-10,"523,330,000","293,524,011",,,,0,0,华北,北京,北京市,J 金融业,www.jwgf.com,000666.SZ
主板,美好置业集团股份有限公司,"Myhome Real Estate Development Group CO.,LTD.",云南省昆明市北京路与联盟路交叉口卓越俊园10幢1单元32层3202室,000667,美好置业,1996-12-05,"2,466,988,633","2,446,934,907",,,,0,0,西南,云南,昆明市,K 房地产,www.000667.com,000667.SZ
主板,荣丰控股集团股份有限公司,RONGFENG HOLDING GROUP CO.，LTD,上海市浦东新区浦东大道1200号1908室,000668,荣丰控股,1996-12-10,"146,841,890","146,688,393",,,,0,0,华东,上海,上海市,K 房地产,www.rfholding.cn,000668.SZ
主板,金鸿控股集团股份有限公司,"Jinhong Holding Group Co., Ltd.",吉林省吉林市高新区恒山西路108号,000669,*ST金鸿,1996-12-10,"680,408,797","680,408,797",,,,0,0,东北,吉林,吉林市,D 水电煤气,www.spjhe.com,000669.SZ
主板,盈方微电子股份有限公司,"Infotmic  co.,ltd.",湖北省荆州市沙市区北京西路440号,000670,*ST盈方,1996-12-17,"816,627,360","601,819,536",,,,0,0,华中,湖北,荆州市,C 制造业,www.infotm.com,000670.SZ
主板,阳光城集团股份有限公司,"Yango Group Co., Ltd",福建省福州经济技术开发区星发路8号,000671,阳 光 城,1996-12-18,"4,137,254,000","4,050,530,053",,,,0,0,华东,福建,福州市,K 房地产,www.yango.com.cn,000671.SZ
主板,甘肃上峰水泥股份有限公司,"GANSU SHANGFENG CEMENT CO., LTD",甘肃省白银市白银区五一街2号,000672,上峰水泥,1996-12-18,"813,619,871","813,619,871",,,,0,0,西北,甘肃,白银市,C 制造业,www.sfsn.cn,000672.SZ
主板,当代东方投资股份有限公司,"Lead Eastern Investment Co.,Ltd",山西省大同市口泉,000673,*ST当代,1997-01-24,"791,550,442","789,510,358",,,,0,0,华北,山西,大同市,R 文化传播,www.sz000673.com,000673.SZ
主板,智度科技股份有限公司,"Genimous Technology CO.,LTD",广东省广州市花都区新雅街凤凰南路56之三401室（部位之8）,000676,智度股份,1996-12-24,"1,325,700,535","1,015,161,595",,,,0,0,华南,广东,广州市,I 信息技术,www.genimous.com,000676.SZ
主板,恒天海龙股份有限公司,"CHTC HELON CO.,LTD.",山东省潍坊市寒亭区海龙路555号,000677,恒天海龙,1996-12-26,"863,977,948","863,977,948",,,,0,0,华东,山东,潍坊市,C 制造业,www.helon.cn,000677.SZ
主板,襄阳汽车轴承股份有限公司,"XIANGYANG AUTOMOBILE BEARING Co., Ltd",湖北省襄阳市高新区邓城大道97号,000678,襄阳轴承,1997-01-06,"459,611,797","459,611,797",,,,0,0,华中,湖北,襄阳市,C 制造业,www.zxy.com.cn,000678.SZ
主板,大连友谊(集团)股份有限公司,"DALIAN FRIENDSHIP (Group)Co.,Ltd.",辽宁省大连市中山区七一街1号,000679,*ST友谊,1997-01-24,"356,400,000","356,400,000",,,,0,0,东北,辽宁,大连市,F 批发零售,www.sz000679.com,000679.SZ
主板,山推工程机械股份有限公司,"SHANTUI CONSTRUCTION MACHINERY CO.,LTD",山东省济宁市高新区327国道58号,000680,山推股份,1997-01-22,"1,266,057,611","1,056,963,053",,,,0,0,华东,山东,济宁市,C 制造业,www.shantui.com,000680.SZ
主板,视觉（中国）文化发展股份有限公司,"VISUAL CHINA GROUP CO.,LTD.",江苏省常州市武进区西太湖科技产业园禾香路123号,000681,视觉中国,1997-01-21,"700,577,436","672,427,568",,,,0,0,华东,江苏,常州市,R 文化传播,www.vcg.com,000681.SZ
主板,东方电子股份有限公司,"Dongfang Electronics Co.,Ltd",山东省烟台市芝罘区机场路2号,000682,东方电子,1997-01-21,"1,340,727,007","978,027,357",,,,0,0,华东,山东,烟台市,I 信息技术,www.dongfangelec.com,000682.SZ
